distance,velocity
0.02380153497341797, 281.98496668425923
0.02380153497341797, 161.84935347671217
0.20502710309600736, -132.69004580325372
0.2676834671114354, -212.4840960925867
0.27469248410299163, -74.0533051853804
0.34265870947565924, -209.56602796225434
0.4484087904008951, 202.23669357234394
0.6782419472532053, 195.22969169195585
0.7895366413009486, 293.5336675902713
0.8903709084749294, 642.5598281435546
0.8903709084749294, 492.85237168491904
0.8903709084749294, 141.8547549148966
0.8913443830570902, -41.19570157305998
0.9923202465339309, 913.7470725029686
1.1266976664532176, 457.50377766887186
1.115774523089753, 505.7340458283852
1.387373931512561, 492.85237168491904
1.6815933493172106, 954.6883933676384
1.9863262926091942, 1083.44912752342
1.9823438965912645, 824.4256458235873
1.9863262926091942, 492.6843498482649
2.0269467319920778, 782.1859744029555
0.5303867403314919, 272.727272727273
0.4972375690607733, 293.70629370629376
